item_id,condition,sentence,target,surprisal
1,+Local+Coarg,John believes that Bill criticized himself.,himself,7.05078125
1,+Local+Picture,John believes that Bill saw a picture of himself.,himself,5.12890625
1,-Local+Coarg,John believes that Mary criticized himself.,himself,9.421875
1,-Local+Picture,John believes that Mary saw a picture of himself.,himself,6.890625
2,+Local+Coarg,Sarah thinks that Emma praised herself.,herself,5.546875
2,+Local+Picture,Sarah thinks that Emma liked a picture of herself.,herself,5.43359375
2,-Local+Coarg,Sarah thinks that Daniel praised herself.,herself,8.9921875
2,-Local+Picture,Sarah thinks that Daniel liked a picture of herself.,herself,5.00390625
3,+Local+Coarg,Peter was glad that James defended himself.,himself,8.0859375
3,+Local+Picture,Peter was glad that James found a picture of himself.,himself,4.32421875
3,-Local+Coarg,Peter was glad that Laura defended himself.,himself,7.23046875
3,-Local+Picture,Peter was glad that Laura found a picture of himself.,himself,7.0625
4,+Local+Coarg,Rachel believes that Hannah embarrassed herself.,herself,3.037109375
4,+Local+Picture,Rachel believes that Hannah bought a picture of herself.,herself,5.828125
4,-Local+Coarg,Rachel believes that Michael embarrassed herself.,herself,7.078125
4,-Local+Picture,Rachel believes that Michael bought a picture of herself.,herself,8.90625
5,+Local+Coarg,David thinks that Tom blamed himself.,himself,3.779296875
5,+Local+Picture,David thinks that Tom looked at a picture of himself.,himself,4.0703125
5,-Local+Coarg,David thinks that Susan blamed himself.,himself,7.75
5,-Local+Picture,David thinks that Susan looked at a picture of himself.,himself,7.58984375
6,+Local+Coarg,Laura thought that Mary admired herself.,herself,8.15625
6,+Local+Picture,Laura thought that Mary saw a picture of herself.,herself,4.50390625
6,-Local+Coarg,Laura thought that Robert admired herself.,herself,11.6015625
6,-Local+Picture,Laura thought that Robert saw a picture of herself.,herself,6.921875
7,+Local+Coarg,Michael believes that Daniel humiliated himself.,himself,4.27734375
7,+Local+Picture,Michael believes that Daniel liked a picture of himself.,himself,5.49609375
7,-Local+Coarg,Michael believes that Anna humiliated himself.,himself,6.9921875
7,-Local+Picture,Michael believes that Anna liked a picture of himself.,himself,6.98046875
8,+Local+Coarg,Rebecca was glad that Emily photographed herself.,herself,9.796875
8,+Local+Picture,Rebecca was glad that Emily found a picture of herself.,herself,4.55078125
8,-Local+Coarg,Rebecca was glad that Ben photographed herself.,herself,11.0703125
8,-Local+Picture,Rebecca was glad that Ben found a picture of herself.,herself,6.51953125
9,+Local+Coarg,James was upset that Peter praised himself.,himself,4.7734375
9,+Local+Picture,James was upset that Peter bought a picture of himself.,himself,5.89453125
9,-Local+Coarg,James was upset that Hannah praised himself.,himself,8.8359375
9,-Local+Picture,James was upset that Hannah bought a picture of himself.,himself,7.23046875
10,+Local+Coarg,Emma thinks that Susan defended herself.,herself,1.9501953125
10,+Local+Picture,Emma thinks that Susan looked at a picture of herself.,herself,4.23046875
10,-Local+Coarg,Emma thinks that David defended herself.,herself,6.72265625
10,-Local+Picture,Emma thinks that David looked at a picture of herself.,herself,6.921875
11,+Local+Coarg,Robert believes that Ben embarrassed himself.,himself,2.208984375
11,+Local+Picture,Robert believes that Ben saw a picture of himself.,himself,5.35546875
11,-Local+Coarg,Robert believes that Rachel embarrassed himself.,himself,8.265625
11,-Local+Picture,Robert believes that Rachel saw a picture of himself.,himself,7.38671875
12,+Local+Coarg,Mary was glad that Anna blamed herself.,herself,1.7470703125
12,+Local+Picture,Mary was glad that Anna liked a picture of herself.,herself,4.2734375
12,-Local+Coarg,Mary was glad that Tom blamed herself.,herself,6.78125
12,-Local+Picture,Mary was glad that Tom liked a picture of herself.,herself,4.9609375
13,+Local+Coarg,Daniel thinks that Michael admired himself.,himself,8.015625
13,+Local+Picture,Daniel thinks that Michael found a picture of himself.,himself,3.982421875
13,-Local+Coarg,Daniel thinks that Laura admired himself.,himself,9.59375
13,-Local+Picture,Daniel thinks that Laura found a picture of himself.,himself,7.34375
14,+Local+Coarg,Hannah thought that Rachel criticized herself.,herself,9.46875
14,+Local+Picture,Hannah thought that Rachel bought a picture of herself.,herself,5.609375
14,-Local+Coarg,Hannah thought that James criticized herself.,herself,10.203125
14,-Local+Picture,Hannah thought that James bought a picture of herself.,herself,7.79296875
15,+Local+Coarg,Ben believes that John photographed himself.,himself,5.34765625
15,+Local+Picture,Ben believes that John looked at a picture of himself.,himself,3.75
15,-Local+Coarg,Ben believes that Emily photographed himself.,himself,8.7265625
15,-Local+Picture,Ben believes that Emily looked at a picture of himself.,himself,7.05078125
