item_id,condition,sentence,target,surprisal
1,+Local+Matrix,Susan believes that Rebecca blamed herself.,herself,2.4140625
1,+Local-Matrix,David believes that Rebecca blamed herself.,herself,3.283203125
1,-Local+Matrix,Susan believes that Peter blamed herself.,herself,7.328125
1,-Local-Matrix,David believes that Peter blamed herself.,herself,10.140625
2,+Local+Matrix,Ben heard that Michael praised himself.,himself,8.1484375
2,+Local-Matrix,Rachel heard that Michael praised himself.,himself,8.421875
2,-Local+Matrix,Ben heard that Rebecca praised himself.,himself,10.7734375
2,-Local-Matrix,Rachel heard that Rebecca praised himself.,himself,12.6328125
3,+Local+Matrix,Laura believes that Sarah humiliated herself.,herself,3.673828125
3,+Local-Matrix,Peter believes that Sarah humiliated herself.,herself,3.94140625
3,-Local+Matrix,Laura believes that Robert humiliated herself.,herself,7.296875
3,-Local-Matrix,Peter believes that Robert humiliated herself.,herself,9.84375
4,+Local+Matrix,Emma believes that Laura defended herself.,herself,1.2373046875
4,+Local-Matrix,Daniel believes that Laura defended herself.,herself,1.76953125
4,-Local+Matrix,Emma believes that James defended herself.,herself,6.3671875
4,-Local-Matrix,Daniel believes that James defended herself.,herself,8.5859375
5,+Local+Matrix,Anna thinks that Susan praised herself.,herself,6.4921875
5,+Local-Matrix,John thinks that Susan praised herself.,herself,5.7265625
5,-Local+Matrix,Anna thinks that Tom praised herself.,herself,8.3046875
5,-Local-Matrix,John thinks that Tom praised herself.,herself,8.8046875
6,+Local+Matrix,Susan thinks that Sarah criticized herself.,herself,8.28125
6,+Local-Matrix,James thinks that Sarah criticized herself.,herself,8.5859375
6,-Local+Matrix,Susan thinks that Tom criticized herself.,herself,9.5546875
6,-Local-Matrix,James thinks that Tom criticized herself.,herself,11.6640625
7,+Local+Matrix,Hannah thinks that Emily embarrassed herself.,herself,2.9140625
7,+Local-Matrix,Robert thinks that Emily embarrassed herself.,herself,1.87109375
7,-Local+Matrix,Hannah thinks that Bill embarrassed herself.,herself,8.109375
7,-Local-Matrix,Robert thinks that Bill embarrassed herself.,herself,8.0390625
8,+Local+Matrix,Michael said that Bill admired himself.,himself,9.25
8,+Local-Matrix,Sarah said that Bill admired himself.,himself,7.39453125
8,-Local+Matrix,Michael said that Emily admired himself.,himself,10.3046875
8,-Local-Matrix,Sarah said that Emily admired himself.,himself,11.359375
9,+Local+Matrix,James heard that Michael criticized himself.,himself,10.0
9,+Local-Matrix,Emily heard that Michael criticized himself.,himself,10.296875
9,-Local+Matrix,James heard that Rachel criticized himself.,himself,12.6796875
9,-Local-Matrix,Emily heard that Rachel criticized himself.,himself,16.125
10,+Local+Matrix,James said that John defended himself.,himself,3.564453125
10,+Local-Matrix,Hannah said that John defended himself.,himself,3.04296875
10,-Local+Matrix,James said that Rachel defended himself.,himself,8.703125
10,-Local-Matrix,Hannah said that Rachel defended himself.,himself,7.75
11,+Local+Matrix,Rebecca thinks that Sarah criticized herself.,herself,8.3671875
11,+Local-Matrix,John thinks that Sarah criticized herself.,herself,8.4296875
11,-Local+Matrix,Rebecca thinks that Peter criticized herself.,herself,9.6328125
11,-Local-Matrix,John thinks that Peter criticized herself.,herself,12.09375
12,+Local+Matrix,Laura believes that Hannah blamed herself.,herself,1.9609375
12,+Local-Matrix,Michael believes that Hannah blamed herself.,herself,1.7158203125
12,-Local+Matrix,Laura believes that David blamed herself.,herself,6.36328125
12,-Local-Matrix,Michael believes that David blamed herself.,herself,9.7421875
13,+Local+Matrix,Sarah said that Susan blamed herself.,herself,4.43359375
13,+Local-Matrix,Tom said that Susan blamed herself.,herself,3.443359375
13,-Local+Matrix,Sarah said that Robert blamed herself.,herself,7.73046875
13,-Local-Matrix,Tom said that Robert blamed herself.,herself,9.03125
14,+Local+Matrix,Bill heard that John admired himself.,himself,8.3984375
14,+Local-Matrix,Emma heard that John admired himself.,himself,9.1171875
14,-Local+Matrix,Bill heard that Rachel admired himself.,himself,9.5234375
14,-Local-Matrix,Emma heard that Rachel admired himself.,himself,14.1484375
15,+Local+Matrix,Bill thinks that Daniel photographed himself.,himself,5.4140625
15,+Local-Matrix,Mary thinks that Daniel photographed himself.,himself,5.87890625
15,-Local+Matrix,Bill thinks that Emily photographed himself.,himself,8.421875
15,-Local-Matrix,Mary thinks that Emily photographed himself.,himself,11.7890625
16,+Local+Matrix,John believes that Michael admired himself.,himself,8.625
16,+Local-Matrix,Anna believes that Michael admired himself.,himself,9.46875
16,-Local+Matrix,John believes that Mary admired himself.,himself,8.546875
16,-Local-Matrix,Anna believes that Mary admired himself.,himself,14.03125
17,+Local+Matrix,Rebecca said that Emma embarrassed herself.,herself,3.8515625
17,+Local-Matrix,Daniel said that Emma embarrassed herself.,herself,3.23828125
17,-Local+Matrix,Rebecca said that David embarrassed herself.,herself,8.453125
17,-Local-Matrix,Daniel said that David embarrassed herself.,herself,8.1015625
18,+Local+Matrix,Ben believes that Daniel criticized himself.,himself,7.828125
18,+Local-Matrix,Emma believes that Daniel criticized himself.,himself,10.1796875
18,-Local+Matrix,Ben believes that Hannah criticized himself.,himself,9.65625
18,-Local-Matrix,Emma believes that Hannah criticized himself.,himself,12.9609375
19,+Local+Matrix,Susan believes that Laura praised herself.,herself,6.16015625
19,+Local-Matrix,Robert believes that Laura praised herself.,herself,6.3359375
19,-Local+Matrix,Susan believes that James praised herself.,herself,9.625
19,-Local-Matrix,Robert believes that James praised herself.,herself,11.6015625
20,+Local+Matrix,Tom believes that James humiliated himself.,himself,4.00390625
20,+Local-Matrix,Sarah believes that James humiliated himself.,himself,5.296875
20,-Local+Matrix,Tom believes that Hannah humiliated himself.,himself,6.5546875
20,-Local-Matrix,Sarah believes that Hannah humiliated himself.,himself,8.9453125
21,+Local+Matrix,Peter said that David photographed himself.,himself,6.93359375
21,+Local-Matrix,Anna said that David photographed himself.,himself,8.2421875
21,-Local+Matrix,Peter said that Emma photographed himself.,himself,9.59375
21,-Local-Matrix,Anna said that Emma photographed himself.,himself,11.71875
22,+Local+Matrix,Tom thinks that Peter praised himself.,himself,4.296875
22,+Local-Matrix,Sarah thinks that Peter praised himself.,himself,5.484375
22,-Local+Matrix,Tom thinks that Rebecca praised himself.,himself,8.4609375
22,-Local-Matrix,Sarah thinks that Rebecca praised himself.,himself,11.734375
