item_id,condition,sentence,target,surprisal
1,+Head+Distractor,The mothers of the boys humiliated themselves.,themselves,5.90625
1,+Head-Distractor,The mothers of the boy humiliated themselves.,themselves,11.3125
1,-Head+Distractor,The mother of the boys humiliated themselves.,themselves,8.25
1,-Head-Distractor,The mother of the boy humiliated themselves.,themselves,14.0625
2,+Head+Distractor,The teachers of the students embarrassed themselves.,themselves,5.3125
2,+Head-Distractor,The teachers of the student embarrassed themselves.,themselves,3.96875
2,-Head+Distractor,The teacher of the students embarrassed themselves.,themselves,7.875
2,-Head-Distractor,The teacher of the student embarrassed themselves.,themselves,10.0
3,+Head+Distractor,The friends of the actors criticized themselves.,themselves,11.25
3,+Head-Distractor,The friends of the actor criticized themselves.,themselves,12.0
3,-Head+Distractor,The friend of the actors criticized themselves.,themselves,11.25
3,-Head-Distractor,The friend of the actor criticized themselves.,themselves,14.625
4,+Head+Distractor,The neighbors of the doctors blamed themselves.,themselves,6.03125
4,+Head-Distractor,The neighbors of the doctor blamed themselves.,themselves,7.65625
4,-Head+Distractor,The neighbor of the doctors blamed themselves.,themselves,8.0625
4,-Head-Distractor,The neighbor of the doctor blamed themselves.,themselves,11.375
5,+Head+Distractor,The sisters of the managers praised themselves.,themselves,7.71875
5,+Head-Distractor,The sisters of the manager praised themselves.,themselves,8.5625
5,-Head+Distractor,The sister of the managers praised themselves.,themselves,11.875
5,-Head-Distractor,The sister of the manager praised themselves.,themselves,14.4375
6,+Head+Distractor,The colleagues of the lawyers questioned themselves.,themselves,11.75
6,+Head-Distractor,The colleagues of the lawyer questioned themselves.,themselves,10.75
6,-Head+Distractor,The colleague of the lawyers questioned themselves.,themselves,14.4375
6,-Head-Distractor,The colleague of the lawyer questioned themselves.,themselves,16.875
7,+Head+Distractor,The assistants of the professors defended themselves.,themselves,5.3125
7,+Head-Distractor,The assistants of the professor defended themselves.,themselves,13.6875
7,-Head+Distractor,The assistant of the professors defended themselves.,themselves,19.5
7,-Head-Distractor,The assistant of the professor defended themselves.,themselves,17.875
8,+Head+Distractor,The cousins of the musicians reassured themselves.,themselves,4.78125
8,+Head-Distractor,The cousins of the musician reassured themselves.,themselves,4.78125
8,-Head+Distractor,The cousin of the musicians reassured themselves.,themselves,10.1875
8,-Head-Distractor,The cousin of the musician reassured themselves.,themselves,11.875
9,+Head+Distractor,The fans of the singers challenged themselves.,themselves,7.40625
9,+Head-Distractor,The fans of the singer challenged themselves.,themselves,6.8125
9,-Head+Distractor,The fan of the singers challenged themselves.,themselves,9.5
9,-Head-Distractor,The fan of the singer challenged themselves.,themselves,11.375
10,+Head+Distractor,The relatives of the patients criticized themselves.,themselves,12.8125
10,+Head-Distractor,The relatives of the patient criticized themselves.,themselves,13.5
10,-Head+Distractor,The relative of the patients criticized themselves.,themselves,12.875
10,-Head-Distractor,The relative of the patient criticized themselves.,themselves,14.8125
11,+Head+Distractor,The fathers of the girls congratulated themselves.,themselves,2.078125
11,+Head-Distractor,The fathers of the girl congratulated themselves.,themselves,2.796875
11,-Head+Distractor,The father of the girls congratulated themselves.,themselves,9.0
11,-Head-Distractor,The father of the girl congratulated themselves.,themselves,11.0625
12,+Head+Distractor,The brothers of the dancers challenged themselves.,themselves,6.125
12,+Head-Distractor,The brothers of the dancer challenged themselves.,themselves,6.3125
12,-Head+Distractor,The brother of the dancers challenged themselves.,themselves,10.75
12,-Head-Distractor,The brother of the dancer challenged themselves.,themselves,13.625
13,+Head+Distractor,The partners of the designers praised themselves.,themselves,9.25
13,+Head-Distractor,The partners of the designer praised themselves.,themselves,9.5625
13,-Head+Distractor,The partner of the designers praised themselves.,themselves,9.75
13,-Head-Distractor,The partner of the designer praised themselves.,themselves,13.0
14,+Head+Distractor,The lawyers of the politicians reassured themselves.,themselves,5.9375
14,+Head-Distractor,The lawyers of the politician reassured themselves.,themselves,6.6875
14,-Head+Distractor,The lawyer of the politicians reassured themselves.,themselves,11.875
14,-Head-Distractor,The lawyer of the politician reassured themselves.,themselves,16.875
15,+Head+Distractor,The advisors of the scientists blamed themselves.,themselves,5.71875
15,+Head-Distractor,The advisors of the scientist blamed themselves.,themselves,6.1875
15,-Head+Distractor,The advisor of the scientists blamed themselves.,themselves,7.53125
15,-Head-Distractor,The advisor of the scientist blamed themselves.,themselves,10.25
16,+Head+Distractor,The teachers of the researchers questioned themselves.,themselves,8.75
16,+Head-Distractor,The teachers of the researcher questioned themselves.,themselves,7.84375
16,-Head+Distractor,The teacher of the researchers questioned themselves.,themselves,10.3125
