item_id,condition,sentence,target,surprisal
1,+Local+Coarg,John believes that Bill criticized himself.,himself,7.645895957946777
1,+Local+Picture,John believes that Bill saw a picture of himself.,himself,5.14383602142334
1,-Local+Coarg,John believes that Mary criticized himself.,himself,9.286580085754395
1,-Local+Picture,John believes that Mary saw a picture of himself.,himself,7.0633673667907715
2,+Local+Coarg,Sarah thinks that Emma praised herself.,herself,8.002294540405273
2,+Local+Picture,Sarah thinks that Emma liked a picture of herself.,herself,6.6221699714660645
2,-Local+Coarg,Sarah thinks that Daniel praised herself.,herself,8.490365028381348
2,-Local+Picture,Sarah thinks that Daniel liked a picture of herself.,herself,6.764235973358154
3,+Local+Coarg,Peter was glad that James defended himself.,himself,3.50362491607666
3,+Local+Picture,Peter was glad that James found a picture of himself.,himself,5.075550556182861
3,-Local+Coarg,Peter was glad that Laura defended himself.,himself,5.616389274597168
3,-Local+Picture,Peter was glad that Laura found a picture of himself.,himself,7.399019718170166
4,+Local+Coarg,Rachel believes that Hannah embarrassed herself.,herself,4.828312397003174
4,+Local+Picture,Rachel believes that Hannah bought a picture of herself.,herself,4.669228553771973
4,-Local+Coarg,Rachel believes that Michael embarrassed herself.,herself,6.024442195892334
4,-Local+Picture,Rachel believes that Michael bought a picture of herself.,herself,6.291151523590088
5,+Local+Coarg,David thinks that Tom blamed himself.,himself,5.344480514526367
5,+Local+Picture,David thinks that Tom looked at a picture of himself.,himself,5.270802974700928
5,-Local+Coarg,David thinks that Susan blamed himself.,himself,7.19020938873291
5,-Local+Picture,David thinks that Susan looked at a picture of himself.,himself,7.3183722496032715
6,+Local+Coarg,Laura thought that Mary admired herself.,herself,7.310129165649414
6,+Local+Picture,Laura thought that Mary saw a picture of herself.,herself,5.830782890319824
6,-Local+Coarg,Laura thought that Robert admired herself.,herself,8.372270584106445
6,-Local+Picture,Laura thought that Robert saw a picture of herself.,herself,5.962630271911621
7,+Local+Coarg,Michael believes that Daniel humiliated himself.,himself,5.223532676696777
7,+Local+Picture,Michael believes that Daniel liked a picture of himself.,himself,4.944622039794922
7,-Local+Coarg,Michael believes that Anna humiliated himself.,himself,6.948189735412598
7,-Local+Picture,Michael believes that Anna liked a picture of himself.,himself,7.20016622543335
8,+Local+Coarg,Rebecca was glad that Emily photographed herself.,herself,7.3537774085998535
8,+Local+Picture,Rebecca was glad that Emily found a picture of herself.,herself,5.090792179107666
8,-Local+Coarg,Rebecca was glad that Ben photographed herself.,herself,8.939770698547363
8,-Local+Picture,Rebecca was glad that Ben found a picture of herself.,herself,6.828262805938721
9,+Local+Coarg,James was upset that Peter praised himself.,himself,7.6783599853515625
9,+Local+Picture,James was upset that Peter bought a picture of himself.,himself,5.546293258666992
9,-Local+Coarg,James was upset that Hannah praised himself.,himself,10.381690979003906
9,-Local+Picture,James was upset that Hannah bought a picture of himself.,himself,8.950671195983887
10,+Local+Coarg,Emma thinks that Susan defended herself.,herself,3.8804733753204346
10,+Local+Picture,Emma thinks that Susan looked at a picture of herself.,herself,5.943388938903809
10,-Local+Coarg,Emma thinks that David defended herself.,herself,6.400883197784424
10,-Local+Picture,Emma thinks that David looked at a picture of herself.,herself,7.76917839050293
11,+Local+Coarg,Robert believes that Ben embarrassed himself.,himself,6.0685343742370605
11,+Local+Picture,Robert believes that Ben saw a picture of himself.,himself,4.733599662780762
11,-Local+Coarg,Robert believes that Rachel embarrassed himself.,himself,8.033748626708984
11,-Local+Picture,Robert believes that Rachel saw a picture of himself.,himself,6.72810173034668
12,+Local+Coarg,Mary was glad that Anna blamed herself.,herself,5.3931379318237305
12,+Local+Picture,Mary was glad that Anna liked a picture of herself.,herself,5.672361850738525
