item_id,condition,sentence,target,surprisal
1,+Head+Distractor,The mothers of the boys humiliated themselves.,themselves,4.563410758972168
1,+Head-Distractor,The mothers of the boy humiliated themselves.,themselves,5.38702917098999
1,-Head+Distractor,The mother of the boys humiliated themselves.,themselves,7.493550777435303
1,-Head-Distractor,The mother of the boy humiliated themselves.,themselves,10.020122528076172
2,+Head+Distractor,The teachers of the students embarrassed themselves.,themselves,6.314024925231934
2,+Head-Distractor,The teachers of the student embarrassed themselves.,themselves,6.507498741149902
2,-Head+Distractor,The teacher of the students embarrassed themselves.,themselves,9.830860137939453
2,-Head-Distractor,The teacher of the student embarrassed themselves.,themselves,10.91006851196289
3,+Head+Distractor,The friends of the actors criticized themselves.,themselves,7.746684551239014
3,+Head-Distractor,The friends of the actor criticized themselves.,themselves,8.540120124816895
3,-Head+Distractor,The friend of the actors criticized themselves.,themselves,10.689566612243652
3,-Head-Distractor,The friend of the actor criticized themselves.,themselves,11.935701370239258
4,+Head+Distractor,The neighbors of the doctors blamed themselves.,themselves,6.806866645812988
4,+Head-Distractor,The neighbors of the doctor blamed themselves.,themselves,7.24261999130249
4,-Head+Distractor,The neighbor of the doctors blamed themselves.,themselves,10.015848159790039
4,-Head-Distractor,The neighbor of the doctor blamed themselves.,themselves,11.056562423706055
5,+Head+Distractor,The sisters of the managers praised themselves.,themselves,8.423506736755371
5,+Head-Distractor,The sisters of the manager praised themselves.,themselves,8.468013763427734
5,-Head+Distractor,The sister of the managers praised themselves.,themselves,10.826884269714355
5,-Head-Distractor,The sister of the manager praised themselves.,themselves,11.948101997375488
6,+Head+Distractor,The colleagues of the lawyers questioned themselves.,themselves,9.689767837524414
6,+Head-Distractor,The colleagues of the lawyer questioned themselves.,themselves,9.979066848754883
6,-Head+Distractor,The colleague of the lawyers questioned themselves.,themselves,12.415640830993652
6,-Head-Distractor,The colleague of the lawyer questioned themselves.,themselves,13.133764266967773
7,+Head+Distractor,The assistants of the professors defended themselves.,themselves,3.391916036605835
7,+Head-Distractor,The assistants of the professor defended themselves.,themselves,3.1344828605651855
7,-Head+Distractor,The assistant of the professors defended themselves.,themselves,6.09957218170166
7,-Head-Distractor,The assistant of the professor defended themselves.,themselves,8.430027961730957
8,+Head+Distractor,The cousins of the musicians reassured themselves.,themselves,5.540284633636475
8,+Head-Distractor,The cousins of the musician reassured themselves.,themselves,5.677118301391602
8,-Head+Distractor,The cousin of the musicians reassured themselves.,themselves,9.938726425170898
8,-Head-Distractor,The cousin of the musician reassured themselves.,themselves,11.038175582885742
9,+Head+Distractor,The fans of the singers challenged themselves.,themselves,7.067629814147949
9,+Head-Distractor,The fans of the singer challenged themselves.,themselves,7.647491931915283
9,-Head+Distractor,The fan of the singers challenged themselves.,themselves,8.835074424743652
9,-Head-Distractor,The fan of the singer challenged themselves.,themselves,10.999334335327148
10,+Head+Distractor,The relatives of the patients criticized themselves.,themselves,7.686128616333008
10,+Head-Distractor,The relatives of the patient criticized themselves.,themselves,8.037370681762695
10,-Head+Distractor,The relative of the patients criticized themselves.,themselves,9.549565315246582
10,-Head-Distractor,The relative of the patient criticized themselves.,themselves,10.852704048156738
11,+Head+Distractor,The fathers of the girls congratulated themselves.,themselves,2.745767593383789
11,+Head-Distractor,The fathers of the girl congratulated themselves.,themselves,3.6821045875549316
11,-Head+Distractor,The father of the girls congratulated themselves.,themselves,5.747952938079834
11,-Head-Distractor,The father of the girl congratulated themselves.,themselves,8.953376770019531
12,+Head+Distractor,The brothers of the dancers challenged themselves.,themselves,7.0304059982299805
12,+Head-Distractor,The brothers of the dancer challenged themselves.,themselves,7.4016289710998535
12,-Head+Distractor,The brother of the dancers challenged themselves.,themselves,10.12476634979248
12,-Head-Distractor,The brother of the dancer challenged themselves.,themselves,11.73926830291748
13,+Head+Distractor,The partners of the designers praised themselves.,themselves,7.916640758514404
13,+Head-Distractor,The partners of the designer praised themselves.,themselves,8.811756134033203
13,-Head+Distractor,The partner of the designers praised themselves.,themselves,10.401362419128418
13,-Head-Distractor,The partner of the designer praised themselves.,themselves,11.675018310546875
14,+Head+Distractor,The lawyers of the politicians reassured themselves.,themselves,6.931603908538818
14,+Head-Distractor,The lawyers of the politician reassured themselves.,themselves,7.420004844665527
14,-Head+Distractor,The lawyer of the politicians reassured themselves.,themselves,10.960761070251465
14,-Head-Distractor,The lawyer of the politician reassured themselves.,themselves,12.195282936096191
15,+Head+Distractor,The advisors of the scientists blamed themselves.,themselves,7.1724467277526855
15,+Head-Distractor,The advisors of the scientist blamed themselves.,themselves,7.535174369812012
15,-Head+Distractor,The advisor of the scientists blamed themselves.,themselves,10.077343940734863
15,-Head-Distractor,The advisor of the scientist blamed themselves.,themselves,11.219771385192871
16,+Head+Distractor,The teachers of the researchers questioned themselves.,themselves,9.228263854980469
16,+Head-Distractor,The teachers of the researcher questioned themselves.,themselves,9.68785572052002
16,-Head+Distractor,The teacher of the researchers questioned themselves.,themselves,11.814427375793457
16,-Head-Distractor,The teacher of the researcher questioned themselves.,themselves,12.575366020202637
17,+Head+Distractor,The friends of the doctors congratulated themselves.,themselves,3.176959753036499
17,+Head-Distractor,The friends of the doctor congratulated themselves.,themselves,3.2794063091278076
17,-Head+Distractor,The friend of the doctors congratulated themselves.,themselves,8.079619407653809
17,-Head-Distractor,The friend of the doctor congratulated themselves.,themselves,9.350409507751465
18,+Head+Distractor,The neighbors of the students embarrassed themselves.,themselves,5.998398303985596
18,+Head-Distractor,The neighbors of the student embarrassed themselves.,themselves,6.091564655303955
18,-Head+Distractor,The neighbor of the students embarrassed themselves.,themselves,9.328763961791992
18,-Head-Distractor,The neighbor of the student embarrassed themselves.,themselves,10.690796852111816
19,+Head+Distractor,The sisters of the actors praised themselves.,themselves,8.156745910644531
19,+Head-Distractor,The sisters of the actor praised themselves.,themselves,8.613862991333008
19,-Head+Distractor,The sister of the actors praised themselves.,themselves,10.814130783081055
19,-Head-Distractor,The sister of the actor praised themselves.,themselves,12.250284194946289
20,+Head+Distractor,The colleagues of the managers congratulated themselves.,themselves,4.120896816253662
20,+Head-Distractor,The colleagues of the manager congratulated themselves.,themselves,4.962972164154053
20,-Head+Distractor,The colleague of the managers congratulated themselves.,themselves,6.63960599899292
20,-Head-Distractor,The colleague of the manager congratulated themselves.,themselves,9.265020370483398
21,+Head+Distractor,The assistants of the researchers questioned themselves.,themselves,8.768365859985352
21,+Head-Distractor,The assistants of the researcher questioned themselves.,themselves,9.162986755371094
21,-Head+Distractor,The assistant of the researchers questioned themselves.,themselves,11.575386047363281
21,-Head-Distractor,The assistant of the researcher questioned themselves.,themselves,12.640509605407715
22,+Head+Distractor,The cousins of the teachers protected themselves.,themselves,5.55390739440918
22,+Head-Distractor,The cousins of the teacher protected themselves.,themselves,5.379852294921875
22,-Head+Distractor,The cousin of the teachers protected themselves.,themselves,9.790400505065918
22,-Head-Distractor,The cousin of the teacher protected themselves.,themselves,10.68756103515625
23,+Head+Distractor,The fans of the actors protected themselves.,themselves,6.849610805511475
23,+Head-Distractor,The fans of the actor protected themselves.,themselves,6.973559379577637
23,-Head+Distractor,The fan of the actors protected themselves.,themselves,9.211626052856445
23,-Head-Distractor,The fan of the actor protected themselves.,themselves,11.07870864868164
24,+Head+Distractor,The relatives of the doctors humiliated themselves.,themselves,5.2192769050598145
24,+Head-Distractor,The relatives of the doctor humiliated themselves.,themselves,5.447734832763672
24,-Head+Distractor,The relative of the doctors humiliated themselves.,themselves,7.720231056213379
24,-Head-Distractor,The relative of the doctor humiliated themselves.,themselves,9.503170013427734
25,+Head+Distractor,The fathers of the students challenged themselves.,themselves,7.375467777252197
25,+Head-Distractor,The fathers of the student challenged themselves.,themselves,7.872681617736816
25,-Head+Distractor,The father of the students challenged themselves.,themselves,10.687970161437988
25,-Head-Distractor,The father of the student challenged themselves.,themselves,12.420685768127441
26,+Head+Distractor,The brothers of the musicians defended themselves.,themselves,2.640690326690674
26,+Head-Distractor,The brothers of the musician defended themselves.,themselves,2.8634300231933594
